S.No.,Movie Name,Year,Crew,IMDb
178, Gran Torino,-2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.096333838
179, Tôkyô monogatari,-1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.095252503
180, The Deer Hunter,-1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.093832445
181, Salinui chueok,-2003,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",8.093757935
182, Relatos salvajes,-2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.091456832
183, Klaus,-2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.089021483
184, Eskiya,-1996,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.086862393
185, Andhadhun,-2018,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",8.086063605
186, Mary and Max,-2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.08502745
187, In the Name of the Father,-1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.084589226
188, The Big Lebowski,-1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.084435188
189, Gone Girl,-2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.081906095
190, Hacksaw Ridge,-2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.080817139
191, The Grand Budapest Hotel,-2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.079640525
192, To Be or Not to Be,-1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.077719995
193, Persona,-1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.076811862
194, Before Sunrise,-1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.076289439
195, Catch Me If You Can,-2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.075756918
196, Ford v. Ferrari,-2019,"James Mangold (dir.), Matt Damon, Christian Bale",8.074511289
197, How to Train Your Dragon,-2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.072274492
198, The General,-1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.072019886
